"Print ISSN";"Online ISSN";"Tidsskrift id";"Original tittel";"Internasjonal tittel"
"0034-7701";"1678-9857";"477688";"Revista de Antropologia";"Revista de Antropologia"
"1925-4040";"1925-4059";"477689";"Journal of Nursing Education and Practice (JNEP)";"Journal of Nursing Education and Practice (JNEP)"
"2191-656X";;"477690";"Heidelberg Studies on Asia and Europe in a Global Context";"Heidelberg Studies on Asia and Europe in a Global Context"
"1754-1360";"1754-1379";"477691";"Journal of Sponsorship";"Journal of Sponsorship"
"1004-4604";;"477692";"Early Childhood Education -Educational Sciences";"Early Childhood Education -Educational Sciences"
"2091-0215";"2091-0207";"477693";"Nepalese Journal of Public Policy and Governance";"Nepalese Journal of Public Policy and Governance"
"1998-5452";;"477694";"Hydro Nepal: Journal of Water, Energy and Environment";"Hydro Nepal: Journal of Water, Energy and Environment"
"2042-5791";"2042-5805";"477695";"Global Strategy Journal";"Global Strategy Journal"
"1862-6300";"1862-6319";"477696";"Physica Status Solidi (a) applications and materials science";"Physica Status Solidi (a) applications and materials science"
"2233-8659";"2049-1123";"477697";"International Area Studies Review";"International Area Studies Review"
"1077-291X";;"477698";"Journal of Public Transportation";"Journal of Public Transportation"
"2158-379X";"2158-3803";"477699";"Journal of Political Power";"Journal of Political Power"
"1759-7269";"1759-7277";"477700";"Biofuels";"Biofuels"
"1102-7878";;"477701";"ACTA universitatis upsaliensis, Studies in Faiths and Ideologies";"ACTA universitatis upsaliensis, Studies in Faiths and Ideologies"
"0780-0886";;"477704";"Nuorisotutkimus";"Nuorisotutkimus"
"2221-7932";"2075-7182";"477705";"Komp'yuternaya Lingvistika i Intellektual'nye Tekhnologii";"Computational Linguistics and Intellectual Technologies"
"0035-6220";;"477706";"Rivista di filologia e di istruzione classica";"Rivista di filologia e di istruzione classica"
"0165-1153";"2041-2827";"477708";"Itinerario: International Journal on the History of European Expansion and Global Interaction";"Itinerario: International Journal on the History of European Expansion and Global Interaction"
"0887-3631";"1940-6320";"477709";"Journal of Cultural Geography";"Journal of Cultural Geography"
"1879-9264";"1879-9272";"477710";"Linguistic Approaches to Bilingualism";"Linguistic Approaches to Bilingualism"
"2211-0305";"2211-0313";"477711";"International Journal of Technology and Development Studies";"International Journal of Technology and Development Studies"
"0345-0112";;"477712";"Text : svensk tidskrift för bibliografi";"Swedish journal of bibliography"
"0372-6827";"2233-1360";"477713";"Veterinaria";"Veterinaria"
"1558-6073";"1558-5468";"477714";"Nature and Culture";"Nature and Culture"
"2040-3585";"2040-3593";"477716";"Journal of International Dispute Settlement";"Journal of International Dispute Settlement"
"0003-5157";;"477717";"Annuarium historiae conciliorum: internationale Zeitschrift für Konziliengeschichtsforschung";"Annuarium historiae conciliorum: internationale Zeitschrift für Konziliengeschichtsforschung"
"0124-3551";"2248-4914";"477718";"Revista CIFE: Lecturas de Economía Social";"CIFE JOURNAL: READINGS OF SOCIAL ECONOMY"
"1899-0983";;"477719";"Tekst i Dyskurs";"Text and Discourse"
"1918-719X";"1918-7203";"477721";"International Journal of Marketing Studies";"International Journal of Marketing Studies"
"1949-2421";"1947-3826";"477723";"Communications and Network";"Communications and Network"
"1975-9339";"2233-9310";"477724";"International Journal of Digital Content Technology and its Applications";"International Journal of Digital Content Technology and its Applications"
"2190-9385";;"477725";"Journal of Ceramic Science and Technology";"Journal of Ceramic Science and Technology"
"1941-1383";"1941-1391";"477727";"Annual Review of Economics";"Annual Review of Economics"
"1529-7373";;"477728";"Annals of Economics and Finance";"Annals of Economics and Finance"
"1941-1367";"1941-1375";"477729";"Annual Review of Financial Economics";"Annual Review of Financial Economics"
"2040-5790";"2040-5804";"477730";"Applied Economic Perspectives and Policy";"Applied Economic Perspectives and Policy"
"1976-1597";"2158-6721";"477731";"Asian Journal of Technology Innovation";"Asian Journal of Technology Innovation"
"1756-137X";"1756-1388";"477732";"China Agricultural Economic Review";"China Agricultural Economic Review"
"1212-3609";;"477733";"E & M Ekonomie a Management";"E & M Ekonomie a Management"
"2029-7106";"2029-7092";"477981";"Environmental Engineering";"Environmental Engineering"
"1309-9485";;"477982";"Law & Justice";"Law & Justice"
"1947-6574";"2152-9272";"477984";"Journal of Modern Periodical Studies";"Journal of Modern Periodical Studies"
"1940-6517";"1940-6347";"477985";"Wiley Series in Probability and Statistics";"Wiley Series in Probability and Statistics"
"0104-7094";"1808-8708";"477986";"Politica Hoje";"Politica Hoje"
"1753-0350";"1753-0369";"477988";"Journal of Cultural Economy";"Journal of Cultural Economy"
"1548-6583";"1935-9683";"477989";"Journal of Modern Accounting and Auditing";"Journal of Modern Accounting and Auditing"
"1539-8080";"1935-9667";"477990";"US-China Foreign Language";"US-China Foreign Language"
"1539-8072";"1935-9675";"477991";"Sino-US English Teaching";"Sino-US English Teaching"
"1548-7695";"1930-2118";"477992";"Journal of China Lawyer and Jurist";"Journal of China Lawyer and Jurist"
"1548-6591";"1935-9691";"477993";"Journal of US-China Public Administration";"Journal of US-China Public Administration"
"1548-7709";"1930-1553";"477994";"Journal of Communication and Computer";"Journal of Communication and Computer"
"1934-7332";"1934-7340";"477996";"Computer Technology and Application";"Computer Technology and Application"
"1934-7359";"1934-7367";"477997";"Journal of Civil Engineering and Architecture";"Journal of Civil Engineering and Architecture"
"1934-7375";"1934-7383";"477998";"Journal of Chemistry and Chemical Engineering";"Journal of Chemistry and Chemical Engineering"
"1934-7391";"1934-7405";"477999";"Journal of Life Sciences";"Journal of Life Sciences"
"2161-6213";;"478000";"Journal of Materials Science and Engineering: A";"Journal of Materials Science and Engineering: A"
"1934-8932";"1934-8940";"478001";"Journal of Environmental Science and Engineering";"Journal of Environmental Science and Engineering"
"2159-5828";"2164-5795";"478002";"Journal of Food Science and Engineering";"Journal of Food Science and Engineering"
"2159-550X";"2159-5518";"478003";"Journal of History Research";"Journal of History Research"
"2159-5542";"2159-5550";"478005";"Journal of Psychology Research";"Journal of Psychology Research"
"2159-5348";;"478006";"Journal of Physical Science and Application";"Journal of Physical Science and Application"
"2159-5879";"2159-5887";"478007";"Journal of Shipping and Ocean Engineering";"Journal of Shipping and Ocean Engineering"
"2161-6221";;"478008";"Journal of Materials Science and Engineering: B";"Journal of Materials Science and Engineering: B"
"2161-6256";;"478009";"Journal of Agricultural Science and Technology: A";"Journal of Agricultural Science and Technology: A"
"2161-6264";;"478010";"Journal of Agricultural Science and Technology: B";"Journal of Agricultural Science and Technology: B"
"2159-5291";"2159-5305";"478011";"Journal of Mathematics and System Science";"Journal of Mathematics and System Science"
"1543-4060";"1543-4079";"478012";"Ecological Restoration";"Ecological Restoration"
"0303-464X";;"478013";"Acta Reumatologica Portuguesa";"Acta Reumatologica Portuguesa"
"1916-9728";"1916-971X";"478014";"International Journal of Economics and Finance";"International Journal of Economics and Finance"
"1832-4975";;"478016";"Gambling Research";"Gambling Research"
"1828-7344";"2240-2950";"478017";"QWERTY - Interdisciplinary Journal of Technology, Culture and Education";"QWERTY - Interdisciplinary Journal of Technology, Culture and Education"
"0976-4143";"0976-4151";"478018";"Journal of Information Security Research";"Journal of Information Security Research"
"1932-2909";"1932-2917";"478019";"Journal of Web Librarianship";"Journal of Web Librarianship"
"1504-2618";;"478020";"Betwixt & Between";"Betwixt & Between"
"1396-1810";;"478021";"SFIs rapporter";"SFIs rapporter"
"2151-4364";"2151-4372";"478022";"Humanity: An International Journal of Human Rights, Humanitarianism, and Development";"Humanity: An International Journal of Human Rights, Humanitarianism, and Development"
"1544-8037";"2378-9174";"478023";"Journal of International Business and Economics (JIBE)";"Journal of International Business and Economics (JIBE)"
"1546-2609";"2378-9670";"478024";"Review of Business Research";"Review of Business Research"
"1542-8710";"2378-8631";"478025";"Journal of Academy of Business and Economics";"Journal of Academy of Business and Economics"
"1555-4015";"2378-8526";"478026";"European Journal of Management";"European Journal of Management"
"1555-2411";"2378-8615";"478027";"International Journal of Strategic Management";"International Journal of Strategic Management"
"1757-4323";"1757-4331";"478028";"Asia-Pacific Journal of Business Administration";"Asia-Pacific Journal of Business Administration"
"0081-9956";;"478029";"Bidrag till Kungl. Vetenskapsakademiens historia";"Bidrag till Kungl. Vetenskapsakademiens historia"
"0346-2218";;"478030";"Svensk skattetidning";"Svensk skattetidning"
"1654-8558";;"478031";"Uppsala University Holocaust and Genocide Studies Publications";"Uppsala University Holocaust and Genocide Studies Publications"
"2210-5824";"2210-5832";"478032";"Language Dynamics and Change";"Language Dynamics and Change"
"1740-6234";;"478033";"Language Documentation and Description";"Language Documentation and Description"
"1664-3607";"1664-3615";"478034";"Bulletin of Mathematical Sciences";"Bulletin of Mathematical Sciences"
"1891-2249";"1893-2231";"478036";"Rusfag : artikkelsamling fra Regionale kompetansesentre rus";"Rusfag : artikkelsamling fra Regionale kompetansesentre rus"
"2163-1433";"2163-1441";"478037";"Clinical Medicine and Diagnostics";"Clinical Medicine and Diagnostics"
"1183-6857";;"478038";"Northern and Regional Studies Series";"Northern and Regional Studies Series"
"8756-8810";;"478039";"MacTech | The journal of Apple technology";"MacTech | The journal of Apple technology"
"1975-5473";;"478040";"Yi Sunsin Yeon'gu Nonch'ong";"Yi Sunsin Yeon'gu Nonch'ong"
"1925-4725";"1925-4733";"478041";"Journal of Management and Sustainability";"Journal of Management and Sustainability"
"2164-3679";"2164-3725";"478042";"Modeling and Simulation in Science, Engineering and Technology";"Modeling and Simulation in Science, Engineering and Technology"
"2077-9879";"2617-2658";"478043";"Eurasian Mathematical Journal (EMJ)";"Eurasian Mathematical Journal (EMJ)"
"1756-0896";"1756-090X";"478044";"Radical Anthropology";"Radical Anthropology"
"1836-0939";"1836-5787";"478045";"Animal Production Science";"Animal Production Science"
"1613-6810";"1613-6829";"478046";"Small";"Small"
"1940-1736";"1940-1744";"478048";"Mitochondrial DNA: The Journal of DNA Mapping, Sequencing, and Analysis";"Mitochondrial DNA: The Journal of DNA Mapping, Sequencing, and Analysis"
"0043-6534";"1943-7366";"478050";"Wisconsin Magazine of History";"Wisconsin Magazine of History"
"1750-8975";"1756-6932";"478051";"Intelligent Buildings International";"Intelligent Buildings International"
"1556-9543";"1556-9551";"478052";"Toxin Reviews";"Toxin Reviews"
"1756-2406";"1756-2414";"478053";"European Journal of Oral Implantology";"European Journal of Oral Implantology"
"2039-439X";"2039-4403";"478054";"Nursing Reports";"Nursing Reports"
"1722-1137";"2612-100X";"478055";"Rivista Italiana di Politiche Pubbliche";"The Italian Journal of Public Policy"
"1102-3619";;"478056";"Svenskans beskrivning";"Svenskans beskrivning"
"2193-4185";;"478057";"Neue Studien zur Sachsenforschung";"Neue Studien zur Sachsenforschung"
"1099-9922";"1558-0989";"478058";"Public Integrity";"Public Integrity"
"0073-2702";;"478059";"Historiska och litteraturhistoriska studier";"Historiska och litteraturhistoriska studier"
"1449-5910";;"478060";"The Australian Journal of Mathematical Analysis and Applications";"The Australian Journal of Mathematical Analysis and Applications"
"1865-9756";;"478061";"Zeitschrift für Theaterpädagogik";"Zeitschrift für Theaterpädagogik"
"1549-8328";"1558-0806";"478062";"IEEE Transactions on Circuits and Systems I: Regular Papers";"IEEE Transactions on Circuits and Systems I: Regular Papers"
"2010-4626";;"478063";"International Proceedings of Economics Development and Research";"International Proceedings of Economics Development and Research"
"1553-8389";"1878-0938";"478066";"Cardiovascular Revascularization Medicine";"Cardiovascular Revascularization Medicine"
"0006-9248";"1336-0345";"478067";"Bratislava Medical Journal";"Bratislava Medical Journal"
"0120-6680";;"478068";"Revista Logos";"Revista Logos"
"2045-290X";"2045-2918";"478069";"Cultural History";"Cultural History"
"0301-3162";;"478070";"Proceedings of the International Congress of Phonetic Sciences";"Proceedings of the International Congress of Phonetic Sciences"
"2047-3087";"2047-3095";"478071";"The International Journal of Nursing Knowledge";"The International Journal of Nursing Knowledge"
"1479-456X";;"478072";"International Journal of Body Composition Research";"International Journal of Body Composition Research"
"1556-9845";"1559-0879";"478073";"Innovations (Philadelphia): technology and techniques in cardiothoracic and vascular surgery";"Innovations (Philadelphia): technology and techniques in cardiothoracic and vascular surgery"
"2036-7414";"2036-7422";"478074";"Gastroenterology Insights";"Gastroenterology Insights"
"1918-2805";"1918-2813";"478075";"Gastroenterology Research";"Gastroenterology Research"
"1755-5302";"1755-5310";"478077";"Interventional Cardiology";"Interventional Cardiology"
"0305-5000";;"478078";"Dental Update";"Dental Update"
"1759-1422";"1743-4904";"478079";"Diversity in Health and Care";"Diversity in Health and Care"
"0972-1509";"0973-0664";"478080";"Global Business Review";"Global Business Review"
"1567-2018";"1875-5704";"478081";"Current Drug Delivery";"Current Drug Delivery"
"1875-4791";"1875-4805";"478082";"International Journal of Social Robotics";"International Journal of Social Robotics"
"1744-5523";"1744-5531";"478083";"International Journal of Law in Context";"International Journal of Law in Context"
"1214-021X";"1214-0287";"478089";"Journal of Applied Biomedicine";"Journal of Applied Biomedicine"
"1662-811X";"1662-8128";"478090";"Journal of Innate Immunity";"Journal of Innate Immunity"
"1674-2788";"1759-4685";"478091";"Journal of Molecular Cell Biology";"Journal of Molecular Cell Biology"
"1949-0976";"1949-0984";"478092";"Gut microbes";"Gut microbes"
"1511-788X";;"478095";"IIUM Engineering Journal";"IIUM Engineering Journal"
"1210-8022";"1804-8617";"478096";"Informační bulletin České statistické společnosti";"Information Bulletin of the Czech Statistical Society"
"1545-8547";"1557-8542";"478097";"Zebrafish";"Zebrafish"
"1534-6455";;"478469";"Clay Mathematics Proceedings";"Clay Mathematics Proceedings"
"2046-9128";"2046-9136";"478470";"The Review of Corporate Finance Studies";"The Review of Corporate Finance Studies"
"0147-9032";"2327-445X";"478471";"Fernand Braudel Center's Review";"Fernand Braudel Center's Review"
"2157-3883";"2157-3891";"478474";"International Perspectives in Psychology: Research, Practice, Consultation";"International Perspectives in Psychology: Research, Practice, Consultation"
"1916-9698";"1916-9701";"478475";"International Journal of Chemistry";"International Journal of Chemistry"
"1290-7839";"1777-554X";"478476";"Critique Internationale";"Critique Internationale"
"1748-8885";"1748-8893";"478477";"International Journal of Speech Language and The Law";"International Journal of Speech Language and The Law"
"0093-1853";"2163-1794";"478478";"Journal of Psychiatry and Law";"Journal of Psychiatry and Law"
"0037-9751";;"478479";"Journal of the Society for Psychical Research";"Journal of the Society for Psychical Research"
"2090-8644";"2090-8652";"478480";"ISRN Education";"ISRN Education"
"1528-0748";"1757-2274";"478482";"Romani Studies";"Romani Studies"
"1868-372X";;"478486";"Hildesheimer Schriften zur Interkulturellen Kommunikation";"Hildesheim Studies in Intercultural Communication"
"2158-3889";;"478488";"Journal of Business Diversity";"Journal of Business Diversity"
"1887-1313";;"478489";"Quaderns del CAC";"Quaderns del CAC"
"1025-3386";;"478490";"Slavic Almanach: The South African Journal for Slavic, Central and Eastern European Studies";"Slavic Almanach: The South African Journal for Slavic, Central and Eastern European Studies"
"0777-2033";;"478491";"Champs linguistiques. Recherches";"Champs linguistiques. Recherches"
"1535-7589";;"478492";"UNLV Gaming Research & Review Journal";"UNLV Gaming Research & Review Journal"
"0947-3971";;"478493";"Wissenschaft und Frieden";"Wissenschaft und Frieden"
"0128-5483";;"478494";"Journal of the Malaysian Branch of the Royal Asiatic Society";"Journal of the Malaysian Branch of the Royal Asiatic Society"
"1694-0938";;"478495";"International Research Symposium in Service Management";"International Research Symposium in Service Management"
"0003-8725";"1442-0945";"478496";"Architecture Australia";"Architecture Australia"
"0346-6418";;"478497";"Acta Universitatis Stockholmiensis";"Acta Universitatis Stockholmiensis"
"1380-6319";;"478499";"Agora";"Agora"
"2201-473X";"1838-0743";"478500";"Settler Colonial Studies";"Settler Colonial Studies"
"2192-4376";"2192-4384";"478501";"EURO Journal on Transportation and Logistics";"EURO Journal on Transportation and Logistics"
"2192-0923";"2192-0931";"478502";"Aviation Psychology and Applied Human Factors";"Aviation Psychology and Applied Human Factors"
"1384-5845";"2352-1171";"478503";"Nederlandse Taalkunde";"Dutch Linguistics"
"1667-7900";"2362-5651";"478504";"El Hilo de la fábula";"El Hilo de la fábula"
"1796-5675";"1795-5270";"478505";"Diakonian tutkimus";"Journal for the Study of Diaconia"
"1526-1476";"2165-0683";"478506";"Pushkin Review/Pushkinskii Vestnik";"Pushkin Review/Pushkinskii Vestnik"
"2212-5574";;"478507";"Journal Advances in Higher Education";"Journal Advances in Higher Education"
"2091-0878";;"478508";"International Journal of Occupational Safety and Health";"International Journal of Occupational Safety and Health"
"0030-9729";;"478509";"Pakistan Development Review";"Pakistan Development Review"
"0918-3159";;"478510";"Bulletin of the Hokkaido Museum of Northern People";"Bulletin of the Hokkaido Museum of Northern People"
"0042-2150";;"478511";"Västgötalitteratur";"Västgötalitteratur"
"2210-6766";"2210-6774";"478512";"Adolescent Psychiatry";"Adolescent Psychiatry"
"1927-0887";"1927-0895";"478513";"Journal of Food Research";"Journal of Food Research"
"0146-3934";;"478514";"College Student Journal";"College Student Journal"
"0949-8656";;"478515";"neue energie";"neue energie"
"1757-482X";"1757-4838";"478516";"Journal of Computational Multiphase Flows";"Journal of Computational Multiphase Flows"
"1891-9472";"2387-3655";"478517";"Pressehistorisk tidsskrift";"Pressehistorisk tidsskrift"
"2250-091X";"2250-0928";"478518";"BIOINFO Financial Management";"BIOINFO Financial Management"
"1857-7172";"1857-8055";"478519";"Bezbednosni dijalozi";"Security Dialogues"
"0855-9414";;"478520";"Ghana Journal of Geography";"Ghana Journal of Geography"
"2182-0171";"2182-018X";"478521";"Dedica. Revista de Educação e Humanidades";"DEDiCA. Journal of Education and the Humanities"
"0047-651X";;"478522";"The Medical Journal of Zambia";"The Medical Journal of Zambia"
"1124-3562";"2282-4197";"478524";"Archivio italiano di urologia, andrologia";"Archivio italiano di urologia, andrologia"
"1334-8078";;"478525";"EDAMBA Journal";"EDAMBA Journal"
"1000-9825";;"478526";"Journal of Software (Chinese)";"Journal of Software (Chinese)"
"2155-0085";"2155-0093";"478527";"Ethics, Policy & Environment";"Ethics, Policy & Environment"
"1944-6586";"1948-8270";"478528";"Journal of Bronchology & Interventional Pulmonology";"Journal of Bronchology & Interventional Pulmonology"
"2159-032X";"2159-0338";"478529";"Heritage & Society";"Heritage & Society"
"0806-0355";;"478531";"Go'mørning";"Go'mørning"
"1697-7777";;"478532";"A mínima";"A mínima"
"1136-9647";;"478533";"2G";"2G"
"1375-5072";;"478534";"A + Architectuur";"A + Architectuur"
"1389-742X";;"478535";"scape magazine";"scape magazine"
"0534-2716";;"478536";"Rättshistoriskt bibliotek";"Rättshistoriskt bibliotek"
"1091-5281";;"478537";"IEEE Instrumentation and Measurement Technology Conference. Proceedings";"IEEE Instrumentation and Measurement Technology Conference. Proceedings"
"1232-1087";"1896-494X";"478538";"International Journal of Occupational Medicine and Environmental Health";"International Journal of Occupational Medicine and Environmental Health"
"1892-4786";;"478539";"Årbok Norsk Maritimt Museum";"Årbok Norsk Maritimt Museum"
"1893-210X";;"478540";"Arkitekturårbok";"Arkitekturårbok"
"2169-897X";"2169-8996";"478541";"Journal of Geophysical Research (JGR): Atmospheres";"Journal of Geophysical Research (JGR): Atmospheres"
"2169-8953";"2169-8961";"478542";"Journal of Geophysical Research (JGR): Biogeosciences";"Journal of Geophysical Research (JGR): Biogeosciences"
"2169-9003";"2169-9011";"478543";"Journal of Geophysical Research (JGR): Earth Surface";"Journal of Geophysical Research (JGR): Earth Surface"
"2169-9097";"2169-9100";"478544";"Journal of Geophysical Research (JGR): Planets";"Journal of Geophysical Research (JGR): Planets"
"2169-9313";"2169-9356";"478545";"Journal of Geophysical Research (JGR): Solid Earth";"Journal of Geophysical Research (JGR): Solid Earth"
"2169-9380";"2169-9402";"478546";"Journal of Geophysical Research (JGR): Space Physics";"Journal of Geophysical Research (JGR): Space Physics"
"1863-9690";"1863-9704";"478547";"ZDM: Mathematics Education";"ZDM: Mathematics Education"
"2234-9561";;"478549";"Basel Namibia Studies Series";"Basel Namibia Studies Series"
"2076-8214";"2078-1938";"478550";"Laboratorium: Russian Review of Social Research";"Laboratorium: Russian Review of Social Research"
"1893-0263";"1893-0271";"478551";"Teologisk Tidsskrift";"Teologisk Tidsskrift"
"2220-6655";"2222-5234";"478553";"International Journal of Biosciences (IJB)";"International Journal of Biosciences (IJB)"
"2162-4453";"2162-4461";"478554";"Open Journal of Genetics";"Open Journal of Genetics"
"1749-7213";"2183-2234";"478555";"Journal of the European Teacher Education Network (JETEN)";"Journal of the European Teacher Education Network (JETEN)"
"0718-414X";;"478557";"Analecta";"Analecta"
"1998-6041";"1998-605X";"478559";"Environmental Economics";"Environmental Economics"
"2152-7245";"2152-7261";"478560";"Modern Economy";"Modern Economy"
"1949-1018";"1949-1026";"478562";"Bioengineered Bugs";"Bioengineered Bugs"
"1003-6520";;"478563";"Gaodianya Jishu";"High Voltage Engineering"
"1674-2001";"2210-4291";"478564";"Particuology";"Particuology"
"2160-8830";"2160-8849";"478566";"American Journal of Operations Research (AJOR)";"American Journal of Operations Research (AJOR)"
"1247-6072";;"478568";"Bulletin Flaubert-Maupassant";"Bulletin Flaubert-Maupassant"
"2090-469X";"2090-4703";"478569";"ISRN Pediatrics";"ISRN Pediatrics"
"1359-0243";;"478570";"Cambridge Environmental Chemistry Series";"Cambridge Environmental Chemistry Series"
"2043-6386";"2043-6394";"478571";"IET Wireless Sensor Systems";"IET Wireless Sensor Systems"
"1877-5233";;"478572";"Annual Rewiew of the Sociology of Religion";"Annual Rewiew of the Sociology of Religion"
"0005-9099";;"478573";"Berichte zur deutschen Landeskunde";"Berichte zur deutschen Landeskunde"
"1752-7066";"1752-7074";"478574";"Journal of Music, Technology and Education";"Journal of Music, Technology and Education"
"1872-0854";"2212-2044";"478575";"Advances in Molecular Toxicology";"Advances in Molecular Toxicology"
"2090-1305";"2090-1313";"478576";"Critical Care Research and Practice";"Critical Care Research and Practice"
"1878-0482";"1878-0784";"478577";"Contemporary Trends and Issues in Science Education";"Contemporary Trends and Issues in Science Education"
"2210-5549";"2210-5557";"478578";"Professional and Practice-based Learning";"Professional and Practice-based Learning"
"1875-3620";;"478579";"Self-Study of Teaching and Teacher Education Practices";"Self-Study of Teaching and Teacher Education Practices"
"1572-0292";"2215-1656";"478580";"Educational Linguistics (EDUL)";"Educational Linguistics (EDUL)"
"1571-5361";;"478581";"Language Policy (Monographic series)";"Language Policy (Monographic series)"
"1386-291X";;"478582";"Text, Speech and Language Technology";"Text, Speech and Language Technology"
"1361-9322";"2042-8758";"478585";"Mental Health Review Journal";"Mental Health Review Journal"
"0718-3003";"0718-3895";"478587";"Discursos - Prácticas";"Discursos - Prácticas"
"2041-3866";"2041-3874";"478588";"Organizational Psychology Review";"Organizational Psychology Review"
"1553-3077";"1553-3093";"478589";"ACM Transactions on Storage";"ACM Transactions on Storage"
"2041-6792";"2041-6806";"478590";"Clinical Investigation (OACLI)";"Clinical Investigation (OACLI)"
"1572-4395";"2215-0315";"478591";"Law and Philosophy Library";"Law and Philosophy Library"
"2090-1968";"2090-1976";"478592";"Journal of Combustion";"Journal of Combustion"
"0721-3654";;"478593";"Europäische Hochschulschriften - Reihe 31: Politikwissenschaft";"Europäische Hochschulschriften - Reihe 31: Politikwissenschaft"
"1342-6311";"1347-4405";"478594";"Microbes and Environments";"Microbes and Environments"
"1751-4223";"1751-4231";"478595";"Proceedings of the ICE - Energy";"Proceedings of the ICE - Energy"
"2045-435X";"2045-4368";"478596";"BMJ Supportive & Palliative Care";"BMJ Supportive & Palliative Care"
"1902-0465";"1904-030X";"478597";"Language at Work - Bridging Theory and Practice";"Language at Work - Bridging Theory and Practice"
"1291-1941";"1950-6708";"478598";"Raisons Politiques";"Raisons Politiques"
"0102-311X";"1678-4464";"472318";"Cadernos de Saúde Pública";"Cadernos de Saúde Pública"
"0104-8333";"1809-4449";"472319";"Cadernos Pagu";"Cadernos Pagu"
"0993-8516";"1765-307X";"472320";"Cahiers de Narratologie";"Cahiers de Narratologie"
"0008-0845";"2160-8091";"472321";"California agriculture";"California agriculture"
"1519-5538";"2317-6830";"472323";"Campos – Revista de Antropologia";"Campos – Revista de Antropologia"
"0823-2105";;"472324";"Canadian Bulletin of Medical History";"Canadian Bulletin of Medical History"
"1499-2671";;"472325";"Canadian Journal of Diabetes";"Canadian Journal of Diabetes"
"1488-1543";;"472326";"Canadian Journal of Emergency Medicine";"Canadian Journal of Emergency Medicine"
"1499-6677";;"472327";"Canadian Journal of Learning and Technology";"Canadian Journal of Learning and Technology"
"0380-1489";"1927-629X";"472330";"Canadian Studies in Population";"Canadian Studies in Population"
"0798-9598";;"472332";"Capítulo Criminológico";"Capítulo Criminológico"
"0718-4654";"0718-4662";"472333";"CAPIC Review";"CAPIC Review"
"1811-8194";"1993-6117";"472336";"The Cardiology";"The Cardiology"
"1765-2553";;"472337";"Carnets de Géologie";"Carnets de Géologie"
"1317-5734";;"472339";"Cayapa";"Cayapa"
"1538-6279";"2163-2960";"472345";"Centro Journal";"Centro Journal"
"0366-6913";"1678-4553";"472346";"Cerâmica";"Cerâmica"
"0104-7760";"2317-6342";"472348";"Cerne";"Cerne"
"0277-6995";"1943-3840";"472349";"Cervantes";"Cervantes"
"1841-4834";"1584-8663";"472350";"Chalcogenide Letters";"Chalcogenide Letters"
"1347-6297";"1347-0442";"472353";"Chem-Bio Informatics Journal";"Chem-Bio Informatics Journal"
"1451-9372";"2217-7434";"472354";"Chemical Industry and Chemical Engineering Quarterly";"Chemical Industry and Chemical Engineering Quarterly"
"1653-4212";;"472356";"China and Eurasia Forum Quarterly";"China and Eurasia Forum Quarterly"
"1009-3419";"1999-6187";"472357";"Chinese Journal of Lung Cancer";"Chinese Journal of Lung Cancer"
"1991-0150";"1749-8546";"472358";"Chinese Medicine";"Chinese Medicine"
"1791-4027";"2241-6323";"472361";"Choregia";"Choregia"
"0228-8699";"1481-8523";"472362";"Chronic Diseases in Canada";"Chronic Diseases in Canada"
"0716-1182";"0717-7356";"472363";"Chungara - Revista de Antropología Chilena";"Chungara - Revista de Antropología Chilena"
"1516-7313";"1980-850X";"472364";"Ciência & Educação";"Ciência & Educação"
"1413-8123";"1678-4561";"472365";"Ciência & Saúde Coletiva";"Ciência & Saúde Coletiva"
"0100-1965";"1518-8353";"472366";"Ciência da Informação";"Ciência da Informação"
"1413-7054";"1981-1829";"472367";"Ciência e Agrotecnologia";"Ciência e Agrotecnologia"
"0101-2061";"1678-457X";"472368";"Ciência e Tecnologia de Alimentos";"Ciência e Tecnologia de Alimentos"
"0103-9954";"1980-5098";"472369";"Ciência Florestal";"Ciência Florestal"
"0103-8478";"1678-4596";"472370";"Ciência Rural";"Ciência Rural"
"1135-7991";"1988-4001";"472372";"CIC Cuadernos de Información y Comunicación";"CIC Cuadernos de Información y Comunicación"
"0304-5609";"0718-1620";"472373";"Ciencia e Investigación Agraria";"Ciencia e Investigación Agraria"
"1405-0269";"2395-8782";"472374";"CIENCIA ergo-sum";"CIENCIA ergo-sum"
"0717-2079";"0717-9553";"472375";"Ciencia y enfermería - Revista iberoamericana de investigacíon";"Ciencia y enfermería - Revista iberoamericana de investigacíon"
"0378-7680";"2613-8751";"472376";"Ciencia y Sociedad";"Ciencia y Sociedad"
"1135-8122";"1696-2443";"472377";"Ciencia y Tecnología Alimentaria";"Ciencia y Tecnología Alimentaria"
"0716-2006";"0718-0969";"472378";"Ciencia y Tecnología del Mar";"Ciencia y Tecnología del Mar"
"0187-6376";;"472379";"Ciencias";"Ciencias"
"1680-8398";"1992-4240";"472381";"CIMEL. Ciencia e Investigación Médica Estudiantil Latinoamericana";"CIMEL. Ciencia e Investigación Médica Estudiantil Latinoamericana"
"0389-1844";;"472382";"Circulation Control";"Circulation Control"
"0376-7892";"1989-2055";"472384";"Cirugía Plástica Ibero-Latinoamericana";"Cirugía Plástica Ibero-Latinoamericana"
"0009-7411";;"472385";"Cirugía y Cirujanos";"Cirugía y Cirujanos"
